Entity,Code,Year,Total number of emigrants
Palestine,PSE,1990,1824634
Palestine,PSE,1995,2368382
Palestine,PSE,2000,2851675
Palestine,PSE,2005,3445320
Palestine,PSE,2010,3493678
Palestine,PSE,2015,3797793
Palestine,PSE,2020,4072904
Palestine,PSE,2024,4233248
Panama,PAN,1990,144087
Panama,PAN,1995,131983
Panama,PAN,2000,166111
Panama,PAN,2005,167840
Panama,PAN,2010,173244
Panama,PAN,2015,177743
Panama,PAN,2020,179794
Panama,PAN,2024,194816
Papua New Guinea,PNG,1990,26144
Papua New Guinea,PNG,1995,27421
Papua New Guinea,PNG,2000,26811
Papua New Guinea,PNG,2005,27858
Papua New Guinea,PNG,2010,30830
Papua New Guinea,PNG,2015,34339
Papua New Guinea,PNG,2020,34471
Papua New Guinea,PNG,2024,35050
Paraguay,PRY,1990,321268
Paraguay,PRY,1995,341859
Paraguay,PRY,2000,364636
Paraguay,PRY,2005,476193
Paraguay,PRY,2010,681322
Paraguay,PRY,2015,674976
Paraguay,PRY,2020,708390
Paraguay,PRY,2024,746362
Peru,PER,1990,302008
Peru,PER,1995,478308
Peru,PER,2000,634278
Peru,PER,2005,914622
Peru,PER,2010,1231719
Peru,PER,2015,1314688
Peru,PER,2020,1460493
Peru,PER,2024,1672482
Philippines,PHL,1990,2167140
Philippines,PHL,1995,2736078
Philippines,PHL,2000,3310102
Philippines,PHL,2005,3925727
Philippines,PHL,2010,4941994
Philippines,PHL,2015,6000348
Philippines,PHL,2020,6461086
Philippines,PHL,2024,6988383
Poland,POL,1990,2317607
Poland,POL,1995,2546193
Poland,POL,2000,2502866
Poland,POL,2005,2798776
Poland,POL,2010,3673715
Poland,POL,2015,4154666
Poland,POL,2020,4365879
Poland,POL,2024,4572613
Polynesia,OWID_PYA,1990,120218
Polynesia,OWID_PYA,1995,129506
Polynesia,OWID_PYA,2000,147298
Polynesia,OWID_PYA,2005,156076
Polynesia,OWID_PYA,2010,161618
Polynesia,OWID_PYA,2015,181299
Polynesia,OWID_PYA,2020,200296
Polynesia,OWID_PYA,2024,217912
Portugal,PRT,1990,1589830
Portugal,PRT,1995,1540545
Portugal,PRT,2000,1554095
Portugal,PRT,2005,1622764
Portugal,PRT,2010,1727839
Portugal,PRT,2015,1801647
Portugal,PRT,2020,1729500
Portugal,PRT,2024,1799179
Puerto Rico,PRI,1990,922587
Puerto Rico,PRI,1995,1043769
Puerto Rico,PRI,2000,1181295
Puerto Rico,PRI,2005,1357565
Puerto Rico,PRI,2010,1554887
Puerto Rico,PRI,2015,1708615
Puerto Rico,PRI,2020,1886872
Puerto Rico,PRI,2024,1948223
Qatar,QAT,1990,11435
Qatar,QAT,1995,11463
Qatar,QAT,2000,11605
Qatar,QAT,2005,13249
Qatar,QAT,2010,15397
Qatar,QAT,2015,16605
Qatar,QAT,2020,18513
Qatar,QAT,2024,19821
Reunion,REU,1990,3903
Reunion,REU,1995,3639
Reunion,REU,2000,3078
Reunion,REU,2005,2624
Reunion,REU,2010,2425
Reunion,REU,2015,2364
Reunion,REU,2020,2336
Reunion,REU,2024,2357
Romania,ROU,1990,957791
Romania,ROU,1995,1142520
Romania,ROU,2000,1226172
Romania,ROU,2005,1960907
Romania,ROU,2010,2979844
Romania,ROU,2015,3535273
Romania,ROU,2020,4191022
Romania,ROU,2024,4583819
Russia,RUS,1990,12427364
Russia,RUS,1995,10281407
Russia,RUS,2000,8879470
Russia,RUS,2005,8675250
Russia,RUS,2010,8545806
Russia,RUS,2015,8528582
Russia,RUS,2020,8747396
Russia,RUS,2024,9134094
Rwanda,RWA,1990,584280
Rwanda,RWA,1995,2109879
Rwanda,RWA,2000,346850
Rwanda,RWA,2005,293186
Rwanda,RWA,2010,334656
Rwanda,RWA,2015,496392
Rwanda,RWA,2020,486754
Rwanda,RWA,2024,539046
Saint Helena,SHN,1990,152
Saint Helena,SHN,1995,157
Saint Helena,SHN,2000,262
Saint Helena,SHN,2005,267
Saint Helena,SHN,2010,396
Saint Helena,SHN,2015,428
Saint Helena,SHN,2020,506
Saint Helena,SHN,2024,591
Saint Kitts and Nevis,KNA,1990,9854
Saint Kitts and Nevis,KNA,1995,10825
Saint Kitts and Nevis,KNA,2000,11826
Saint Kitts and Nevis,KNA,2005,12011
Saint Kitts and Nevis,KNA,2010,11543
Saint Kitts and Nevis,KNA,2015,12179
Saint Kitts and Nevis,KNA,2020,13154
Saint Kitts and Nevis,KNA,2024,13872
Saint Lucia,LCA,1990,14018
Saint Lucia,LCA,1995,15676
Saint Lucia,LCA,2000,17419
Saint Lucia,LCA,2005,17110
Saint Lucia,LCA,2010,17985
Saint Lucia,LCA,2015,19620
Saint Lucia,LCA,2020,20127
Saint Lucia,LCA,2024,21706
Saint Pierre and Miquelon,SPM,1990,61
Saint Pierre and Miquelon,SPM,1995,85
Saint Pierre and Miquelon,SPM,2000,112
Saint Pierre and Miquelon,SPM,2005,106
Saint Pierre and Miquelon,SPM,2010,105
Saint Pierre and Miquelon,SPM,2015,111
Saint Pierre and Miquelon,SPM,2020,122
Saint Pierre and Miquelon,SPM,2024,156
Saint Vincent and the Grenadines,VCT,1990,23344
Saint Vincent and the Grenadines,VCT,1995,24675
Saint Vincent and the Grenadines,VCT,2000,25484
Saint Vincent and the Grenadines,VCT,2005,26574
Saint Vincent and the Grenadines,VCT,2010,26840
Saint Vincent and the Grenadines,VCT,2015,29222
Saint Vincent and the Grenadines,VCT,2020,30568
Saint Vincent and the Grenadines,VCT,2024,35264
Samoa,WSM,1990,64643
Samoa,WSM,1995,69079
Samoa,WSM,2000,77905
Samoa,WSM,2005,84416
Samoa,WSM,2010,88359
Samoa,WSM,2015,97923
Samoa,WSM,2020,109124
Samoa,WSM,2024,119313
San Marino,SMR,1990,2457
San Marino,SMR,1995,2382
San Marino,SMR,2000,2237
San Marino,SMR,2005,2080
San Marino,SMR,2010,1954
San Marino,SMR,2015,1866
San Marino,SMR,2020,2433
San Marino,SMR,2024,1991
Sao Tome and Principe,STP,1990,13668
Sao Tome and Principe,STP,1995,18868
Sao Tome and Principe,STP,2000,24414
Sao Tome and Principe,STP,2005,28200
Sao Tome and Principe,STP,2010,29623
Sao Tome and Principe,STP,2015,33671
Sao Tome and Principe,STP,2020,37872
Sao Tome and Principe,STP,2024,41433
Saudi Arabia,SAU,1990,73557
Saudi Arabia,SAU,1995,91112
Saudi Arabia,SAU,2000,113266
Saudi Arabia,SAU,2005,110937
Saudi Arabia,SAU,2010,143733
Saudi Arabia,SAU,2015,159958
Saudi Arabia,SAU,2020,215551
Saudi Arabia,SAU,2024,236699
Senegal,SEN,1990,325275
Senegal,SEN,1995,318928
Senegal,SEN,2000,366397
Senegal,SEN,2005,425788
Senegal,SEN,2010,498417
Senegal,SEN,2015,558252
Senegal,SEN,2020,665735
Senegal,SEN,2024,741357
Serbia,SRB,1990,366262
Serbia,SRB,1995,428537
Serbia,SRB,2000,476586
Serbia,SRB,2005,510878
Serbia,SRB,2010,620292
Serbia,SRB,2015,775447
Serbia,SRB,2020,859370
Serbia,SRB,2024,963307
Seychelles,SYC,1990,10497
Seychelles,SYC,1995,13042
Seychelles,SYC,2000,14346
Seychelles,SYC,2005,18364
Seychelles,SYC,2010,20399
Seychelles,SYC,2015,21141
Seychelles,SYC,2020,21722
Seychelles,SYC,2024,22191
Sierra Leone,SLE,1990,42497
Sierra Leone,SLE,1995,423611
Sierra Leone,SLE,2000,459995
Sierra Leone,SLE,2005,89467
Sierra Leone,SLE,2010,57946
Sierra Leone,SLE,2015,59400
Sierra Leone,SLE,2020,64980
Sierra Leone,SLE,2024,63631
Singapore,SGP,1990,156619
Singapore,SGP,1995,170806
Singapore,SGP,2000,186401
Singapore,SGP,2005,206277
Singapore,SGP,2010,231411
Singapore,SGP,2015,254347
Singapore,SGP,2020,264487
Singapore,SGP,2024,269613
Sint Maarten (Dutch part),SXM,1990,1108
Sint Maarten (Dutch part),SXM,1995,1320
Sint Maarten (Dutch part),SXM,2000,1594
Sint Maarten (Dutch part),SXM,2005,1655
Sint Maarten (Dutch part),SXM,2010,1698
Sint Maarten (Dutch part),SXM,2015,1793
Sint Maarten (Dutch part),SXM,2020,1945
Sint Maarten (Dutch part),SXM,2024,2464
Slovakia,SVK,1990,322859
Slovakia,SVK,1995,335476
Slovakia,SVK,2000,352303
Slovakia,SVK,2005,370695
Slovakia,SVK,2010,399133
Slovakia,SVK,2015,400856
Slovakia,SVK,2020,394449
Slovakia,SVK,2024,389909
Slovenia,SVN,1990,112702
Slovenia,SVN,1995,124463
Slovenia,SVN,2000,107988
Slovenia,SVN,2005,94891
Slovenia,SVN,2010,91568
Slovenia,SVN,2015,91655
Slovenia,SVN,2020,81068
Slovenia,SVN,2024,78808
Small Island Developing States (SIDS),,1990,4758273
Small Island Developing States (SIDS),,1995,5678716
Small Island Developing States (SIDS),,2000,6749895
Small Island Developing States (SIDS),,2005,7350981
Small Island Developing States (SIDS),,2010,8502622
Small Island Developing States (SIDS),,2015,9708235
Small Island Developing States (SIDS),,2020,10911697
Small Island Developing States (SIDS),,2024,11966357
Solomon Islands,SLB,1990,2171
Solomon Islands,SLB,1995,2348
Solomon Islands,SLB,2000,2398
Solomon Islands,SLB,2005,2671
Solomon Islands,SLB,2010,3024
Solomon Islands,SLB,2015,3447
Solomon Islands,SLB,2020,4047
Solomon Islands,SLB,2024,8352
Somalia,SOM,1990,599233
Somalia,SOM,1995,791721
Somalia,SOM,2000,758781
Somalia,SOM,2005,756046
Somalia,SOM,2010,1237640
Somalia,SOM,2015,1719780
Somalia,SOM,2020,1701493
Somalia,SOM,2024,1935594
South Africa,ZAF,1990,295392
South Africa,ZAF,1995,357986
South Africa,ZAF,2000,494645
South Africa,ZAF,2005,613772
South Africa,ZAF,2010,704402
South Africa,ZAF,2015,782819
South Africa,ZAF,2020,898203
South Africa,ZAF,2024,1005800
South America,,1990,4094918
South America,,1995,4915310
South America,,2000,6240669
South America,,2005,8405080
South America,,2010,10398188
South America,,2015,10829815
South America,,2020,16909320
South America,,2024,21243834
South Korea,KOR,1990,1744465
South Korea,KOR,1995,1812749
South Korea,KOR,2000,1897540
South Korea,KOR,2005,2001950
South Korea,KOR,2010,2164782
South Korea,KOR,2015,2162256
South Korea,KOR,2020,2038995
South Korea,KOR,2024,2030473
South Sudan,SSD,1990,479199
South Sudan,SSD,1995,266027
South Sudan,SSD,2000,283331
South Sudan,SSD,2005,211198
South Sudan,SSD,2010,321713
South Sudan,SSD,2015,853845
South Sudan,SSD,2020,2374400
South Sudan,SSD,2024,3168836
South-Eastern Asia (UN),,1990,6884845
South-Eastern Asia (UN),,1995,8557750
South-Eastern Asia (UN),,2000,10788055
South-Eastern Asia (UN),,2005,12830697
South-Eastern Asia (UN),,2010,16314789
South-Eastern Asia (UN),,2015,18969075
South-Eastern Asia (UN),,2020,21787389
South-Eastern Asia (UN),,2024,24224991
Southern Africa (UN),,1990,526813
Southern Africa (UN),,1995,562868
Southern Africa (UN),,2000,712756
Southern Africa (UN),,2005,855864
Southern Africa (UN),,2010,969080
Southern Africa (UN),,2015,1064677
Southern Africa (UN),,2020,1201659
Southern Africa (UN),,2024,1321401
Southern Asia (UN),,1990,24262062
Southern Asia (UN),,1995,21535336
Southern Asia (UN),,2000,23333766
Southern Asia (UN),,2005,25278283
Southern Asia (UN),,2010,31962340
Southern Asia (UN),,2015,39106237
Southern Asia (UN),,2020,41985779
Southern Asia (UN),,2024,47616527
Southern Europe (UN),,1990,10381163
Southern Europe (UN),,1995,11086187
Southern Europe (UN),,2000,11216178
Southern Europe (UN),,2005,10737085
Southern Europe (UN),,2010,10833950
Southern Europe (UN),,2015,11356238
Southern Europe (UN),,2020,11909456
Southern Europe (UN),,2024,12511512
Spain,ESP,1990,1374696
Spain,ESP,1995,1238438
Spain,ESP,2000,1177275
Spain,ESP,2005,1126330
Spain,ESP,2010,1138608
Spain,ESP,2015,1307006
Spain,ESP,2020,1471585
Spain,ESP,2024,1623550
Sri Lanka,LKA,1990,843476
Sri Lanka,LKA,1995,721651
Sri Lanka,LKA,2000,786520
Sri Lanka,LKA,2005,910507
Sri Lanka,LKA,2010,1108466
Sri Lanka,LKA,2015,1246445
Sri Lanka,LKA,2020,1409777
Sri Lanka,LKA,2024,1492103
Sub-Saharan Africa (UN),,1990,14124662
Sub-Saharan Africa (UN),,1995,15183742
Sub-Saharan Africa (UN),,2000,14584913
Sub-Saharan Africa (UN),,2005,16004417
Sub-Saharan Africa (UN),,2010,18243295
Sub-Saharan Africa (UN),,2015,22763602
Sub-Saharan Africa (UN),,2020,27134957
Sub-Saharan Africa (UN),,2024,30661610
Sudan,SDN,1990,465978
Sudan,SDN,1995,660265
Sudan,SDN,2000,743460
Sudan,SDN,2005,1119655
Sudan,SDN,2010,1194477
Sudan,SDN,2015,2209101
Sudan,SDN,2020,2378503
Sudan,SDN,2024,3786603
Suriname,SUR,1990,201053
Suriname,SUR,1995,214997
Suriname,SUR,2000,224382
Suriname,SUR,2005,240484
Suriname,SUR,2010,243661
Suriname,SUR,2015,238769
Suriname,SUR,2020,250122
Suriname,SUR,2024,258026
Sweden,SWE,1990,114669
Sweden,SWE,1995,121543
Sweden,SWE,2000,139034
Sweden,SWE,2005,153310
Sweden,SWE,2010,177468
Sweden,SWE,2015,190827
Sweden,SWE,2020,200769
Sweden,SWE,2024,223508
Switzerland,CHE,1990,396651
Switzerland,CHE,1995,420665
Switzerland,CHE,2000,440639
Switzerland,CHE,2005,467978
Switzerland,CHE,2010,491884
Switzerland,CHE,2015,499929
Switzerland,CHE,2020,507043
Switzerland,CHE,2024,512547
Syria,SYR,1990,296211
Syria,SYR,1995,342460
Syria,SYR,2000,382108
Syria,SYR,2005,547473
Syria,SYR,2010,1265925
Syria,SYR,2015,5981460
Syria,SYR,2020,8652202
Syria,SYR,2024,8927523
Taiwan,TWN,1990,388755
Taiwan,TWN,1995,429257
Taiwan,TWN,2000,593675
Taiwan,TWN,2005,645094
Taiwan,TWN,2010,723110
Taiwan,TWN,2015,801098
Taiwan,TWN,2020,810609
Taiwan,TWN,2024,832507
Tajikistan,TJK,1990,552860
Tajikistan,TJK,1995,566001
Tajikistan,TJK,2000,542408
Tajikistan,TJK,2005,574337
Tajikistan,TJK,2010,555214
Tajikistan,TJK,2015,536498
Tajikistan,TJK,2020,517979
Tajikistan,TJK,2024,514478
Tanzania,TZA,1990,194717
Tanzania,TZA,1995,210718
Tanzania,TZA,2000,192774
Tanzania,TZA,2005,202455
Tanzania,TZA,2010,208185
Tanzania,TZA,2015,221603
Tanzania,TZA,2020,219530
Tanzania,TZA,2024,225017
Thailand,THA,1990,298071
Thailand,THA,1995,479776
Thailand,THA,2000,607699
Thailand,THA,2005,648137
Thailand,THA,2010,724614
Thailand,THA,2015,907298
Thailand,THA,2020,1075834
Thailand,THA,2024,1178757
Togo,TGO,1990,184145
Togo,TGO,1995,294188
Togo,TGO,2000,253143
Togo,TGO,2005,391527
Togo,TGO,2010,407152
Togo,TGO,2015,489237
Togo,TGO,2020,539877
Togo,TGO,2024,584790
Tokelau,TKL,1990,295
Tokelau,TKL,1995,352
Tokelau,TKL,2000,441
Tokelau,TKL,2005,576
Tokelau,TKL,2010,703
Tokelau,TKL,2015,779
Tokelau,TKL,2020,714
Tokelau,TKL,2024,688
Tonga,TON,1990,19954
Tonga,TON,1995,23967
Tonga,TON,2000,28245
Tonga,TON,2005,31622
Tonga,TON,2010,34619
Tonga,TON,2015,40233
Tonga,TON,2020,47094
Tonga,TON,2024,53237
Trinidad and Tobago,TTO,1990,181630
Trinidad and Tobago,TTO,1995,188536
Trinidad and Tobago,TTO,2000,281792
Trinidad and Tobago,TTO,2005,291912
Trinidad and Tobago,TTO,2010,314851
Trinidad and Tobago,TTO,2015,323450
Trinidad and Tobago,TTO,2020,310552
Trinidad and Tobago,TTO,2024,323630
Tunisia,TUN,1990,453179
Tunisia,TUN,1995,466515
Tunisia,TUN,2000,482798
Tunisia,TUN,2005,526777
Tunisia,TUN,2010,569831
Tunisia,TUN,2015,619432
Tunisia,TUN,2020,674089
Tunisia,TUN,2024,715249
Turkey,TUR,1990,1862302
Turkey,TUR,1995,2388133
Turkey,TUR,2000,2673854
Turkey,TUR,2005,2651430
Turkey,TUR,2010,2709646
Turkey,TUR,2015,2727575
Turkey,TUR,2020,2837815
Turkey,TUR,2024,3130337
Turkmenistan,TKM,1990,293445
Turkmenistan,TKM,1995,303119
Turkmenistan,TKM,2000,320900
Turkmenistan,TKM,2005,335113
Turkmenistan,TKM,2010,342391
Turkmenistan,TKM,2015,317031
Turkmenistan,TKM,2020,384184
Turkmenistan,TKM,2024,365787
Turks and Caicos Islands,TCA,1990,2246
Turks and Caicos Islands,TCA,1995,1431
Turks and Caicos Islands,TCA,2000,595
Turks and Caicos Islands,TCA,2005,1039
Turks and Caicos Islands,TCA,2010,2009
Turks and Caicos Islands,TCA,2015,2251
Turks and Caicos Islands,TCA,2020,2470
Turks and Caicos Islands,TCA,2024,2663
Tuvalu,TUV,1990,1265
Tuvalu,TUV,1995,1283
Tuvalu,TUV,2000,1334
Tuvalu,TUV,2005,1300
Tuvalu,TUV,2010,1035
Tuvalu,TUV,2015,1094
Tuvalu,TUV,2020,1164
Tuvalu,TUV,2024,1239
Uganda,UGA,1990,247275
Uganda,UGA,1995,294857
Uganda,UGA,2000,446491
Uganda,UGA,2005,477529
Uganda,UGA,2010,582479
Uganda,UGA,2015,619064
Uganda,UGA,2020,586241
Uganda,UGA,2024,578034
Ukraine,UKR,1990,5528990
Ukraine,UKR,1995,5507530
Ukraine,UKR,2000,5483590
Ukraine,UKR,2005,5401295
Ukraine,UKR,2010,5179224
Ukraine,UKR,2015,4644011
Ukraine,UKR,2020,4353031
Ukraine,UKR,2024,9769216
United Arab Emirates,ARE,1990,61137
United Arab Emirates,ARE,1995,74060
United Arab Emirates,ARE,2000,93827
United Arab Emirates,ARE,2005,86261
United Arab Emirates,ARE,2010,108381
United Arab Emirates,ARE,2015,121499
United Arab Emirates,ARE,2020,142981
United Arab Emirates,ARE,2024,166074
United Kingdom,GBR,1990,3869251
United Kingdom,GBR,1995,3958015
United Kingdom,GBR,2000,3965079
United Kingdom,GBR,2005,4236414
United Kingdom,GBR,2010,4535077
United Kingdom,GBR,2015,4583485
United Kingdom,GBR,2020,4710579
United Kingdom,GBR,2024,4804944
United States,USA,1990,1725058
United States,USA,1995,1860615
United States,USA,2000,2017599
United States,USA,2005,2320398
United States,USA,2010,2774899
United States,USA,2015,2968434
United States,USA,2020,3082359
United States,USA,2024,3186999
United States Virgin Islands,VIR,1990,2348
United States Virgin Islands,VIR,1995,3012
United States Virgin Islands,VIR,2000,3728
United States Virgin Islands,VIR,2005,3474
United States Virgin Islands,VIR,2010,3555
United States Virgin Islands,VIR,2015,3795
United States Virgin Islands,VIR,2020,3840
United States Virgin Islands,VIR,2024,4047
Upper-middle-income countries,,1990,39307550
Upper-middle-income countries,,1995,46664183
Upper-middle-income countries,,2000,53127306
Upper-middle-income countries,,2005,59776982
Upper-middle-income countries,,2010,67944601
Upper-middle-income countries,,2015,69573151
Upper-middle-income countries,,2020,77844594
Upper-middle-income countries,,2024,90466236
Uruguay,URY,1990,178551
Uruguay,URY,1995,186030
Uruguay,URY,2000,202378
Uruguay,URY,2005,256391
Uruguay,URY,2010,272665
Uruguay,URY,2015,256293
Uruguay,URY,2020,259028
Uruguay,URY,2024,263285
Uzbekistan,UZB,1990,1449406
Uzbekistan,UZB,1995,1655021
Uzbekistan,UZB,2000,1813688
Uzbekistan,UZB,2005,1946322
Uzbekistan,UZB,2010,2073283
Uzbekistan,UZB,2015,2061736
Uzbekistan,UZB,2020,2092741
Uzbekistan,UZB,2024,2114480
Vanuatu,VUT,1990,4927
Vanuatu,VUT,1995,5656
Vanuatu,VUT,2000,6184
Vanuatu,VUT,2005,6597
Vanuatu,VUT,2010,6898
Vanuatu,VUT,2015,5840
Vanuatu,VUT,2020,8465
Vanuatu,VUT,2024,15202
Vatican,VAT,1990,22
Vatican,VAT,1995,30
Vatican,VAT,2000,41
Vatican,VAT,2005,52
Vatican,VAT,2010,74
Vatican,VAT,2015,128
Vatican,VAT,2020,284
Vatican,VAT,2024,313
Venezuela,VEN,1990,216183
Venezuela,VEN,1995,248789
Venezuela,VEN,2000,338356
Venezuela,VEN,2005,451384
Venezuela,VEN,2010,550930
Venezuela,VEN,2015,760196
Venezuela,VEN,2020,5477198
Venezuela,VEN,2024,8328514
Vietnam,VNM,1990,1128520
Vietnam,VNM,1995,1362168
Vietnam,VNM,2000,1805287
Vietnam,VNM,2005,2091843
Vietnam,VNM,2010,2339779
Vietnam,VNM,2015,2719796
Vietnam,VNM,2020,3330404
Vietnam,VNM,2024,3693537
Wallis and Futuna,WLF,1990,6650
Wallis and Futuna,WLF,1995,7067
Wallis and Futuna,WLF,2000,7532
Wallis and Futuna,WLF,2005,7617
Wallis and Futuna,WLF,2010,7724
Wallis and Futuna,WLF,2015,11527
Wallis and Futuna,WLF,2020,12231
Wallis and Futuna,WLF,2024,12822
Western Africa (UN),,1990,4733959
Western Africa (UN),,1995,5817272
Western Africa (UN),,2000,5991272
Western Africa (UN),,2005,7012547
Western Africa (UN),,2010,7801378
Western Africa (UN),,2015,9118066
Western Africa (UN),,2020,10347311
Western Africa (UN),,2024,11328701
Western Asia (UN),,1990,9432901
Western Asia (UN),,1995,11159862
Western Asia (UN),,2000,12150630
Western Asia (UN),,2005,13122062
Western Asia (UN),,2010,15843567
Western Asia (UN),,2015,20612157
Western Asia (UN),,2020,24325077
Western Asia (UN),,2024,25440263
Western Europe (UN),,1990,6953771
Western Europe (UN),,1995,8144490
Western Europe (UN),,2000,7559096
Western Europe (UN),,2005,7799384
Western Europe (UN),,2010,8270225
Western Europe (UN),,2015,8471120
Western Europe (UN),,2020,8695422
Western Europe (UN),,2024,9039660
Western Sahara,ESH,1990,168120
Western Sahara,ESH,1995,167018
Western Sahara,ESH,2000,165927
Western Sahara,ESH,2005,131181
Western Sahara,ESH,2010,170154
Western Sahara,ESH,2015,184784
Western Sahara,ESH,2020,193812
Western Sahara,ESH,2024,202107
World,OWID_WRL,1990,140844123
World,OWID_WRL,1995,149554994
World,OWID_WRL,2000,158774470
World,OWID_WRL,2005,175134897
World,OWID_WRL,2010,201989896
World,OWID_WRL,2015,228379578
World,OWID_WRL,2020,252729849
World,OWID_WRL,2024,281955848
Yemen,YEM,1990,388323
Yemen,YEM,1995,490575
Yemen,YEM,2000,533500
Yemen,YEM,2005,668381
Yemen,YEM,2010,1199914
Yemen,YEM,2015,2169838
Yemen,YEM,2020,2240104
Yemen,YEM,2024,2480734
Zambia,ZMB,1990,73861
Zambia,ZMB,1995,116003
Zambia,ZMB,2000,125019
Zambia,ZMB,2005,133582
Zambia,ZMB,2010,134473
Zambia,ZMB,2015,128590
Zambia,ZMB,2020,122981
Zambia,ZMB,2024,122793
Zimbabwe,ZWE,1990,221449
Zimbabwe,ZWE,1995,272384
Zimbabwe,ZWE,2000,321579
Zimbabwe,ZWE,2005,543425
Zimbabwe,ZWE,2010,931334
Zimbabwe,ZWE,2015,1237826
Zimbabwe,ZWE,2020,1390279
Zimbabwe,ZWE,2024,1519324
