Entity,Code,Year,Share of the population using safely managed drinking water
Algeria,DZA,2001,69.98859
Algeria,DZA,2002,70.47035
Algeria,DZA,2003,70.93791
Algeria,DZA,2004,71.39134
Algeria,DZA,2005,71.830215
Algeria,DZA,2006,72.255196
Algeria,DZA,2007,72.66588
Algeria,DZA,2008,73.06289
Algeria,DZA,2009,73.44309
Algeria,DZA,2010,73.80806
Algeria,DZA,2011,74.157486
Algeria,DZA,2012,74.492
Algeria,DZA,2013,74.81179
Algeria,DZA,2014,75.11766
Algeria,DZA,2015,75.409615
Algeria,DZA,2016,74.78149
Algeria,DZA,2017,74.068275
Algeria,DZA,2018,73.326546
Algeria,DZA,2019,72.218796
Algeria,DZA,2020,70.52516
Algeria,DZA,2021,68.83924
Algeria,DZA,2022,68.90451
Algeria,DZA,2023,68.967865
Algeria,DZA,2024,69.02918
American Samoa,ASM,2000,81.90922
American Samoa,ASM,2001,82.58782
American Samoa,ASM,2002,83.26878
American Samoa,ASM,2003,83.952095
American Samoa,ASM,2004,84.63776
American Samoa,ASM,2005,85.32577
American Samoa,ASM,2006,86.016136
American Samoa,ASM,2007,86.70885
American Samoa,ASM,2008,87.403915
American Samoa,ASM,2009,87.96088
American Samoa,ASM,2010,88.17402
American Samoa,ASM,2011,88.38715
American Samoa,ASM,2012,88.60029
American Samoa,ASM,2013,88.81343
American Samoa,ASM,2014,89.026566
American Samoa,ASM,2015,89.23971
American Samoa,ASM,2016,89.45284
American Samoa,ASM,2017,89.665985
American Samoa,ASM,2018,89.87912
American Samoa,ASM,2019,90.092255
American Samoa,ASM,2020,90.3054
American Samoa,ASM,2021,90.51853
American Samoa,ASM,2022,90.53834
American Samoa,ASM,2023,90.53834
American Samoa,ASM,2024,90.53834
Americas (WHO),WHO_AMR,2000,77.727585
Americas (WHO),WHO_AMR,2001,77.904434
Americas (WHO),WHO_AMR,2002,78.07419
Americas (WHO),WHO_AMR,2003,78.24188
Americas (WHO),WHO_AMR,2004,78.40929
Americas (WHO),WHO_AMR,2005,78.7078
Americas (WHO),WHO_AMR,2006,78.87476
Americas (WHO),WHO_AMR,2007,79.044266
Americas (WHO),WHO_AMR,2008,79.23678
Americas (WHO),WHO_AMR,2009,79.489716
Americas (WHO),WHO_AMR,2010,79.7587
Americas (WHO),WHO_AMR,2011,80.02484
Americas (WHO),WHO_AMR,2012,80.276405
Americas (WHO),WHO_AMR,2013,80.65201
Americas (WHO),WHO_AMR,2014,80.87533
Americas (WHO),WHO_AMR,2015,81.30391
Americas (WHO),WHO_AMR,2016,81.72818
Americas (WHO),WHO_AMR,2017,82.13829
Americas (WHO),WHO_AMR,2018,82.51467
Americas (WHO),WHO_AMR,2019,82.872406
Americas (WHO),WHO_AMR,2020,83.215706
Americas (WHO),WHO_AMR,2021,83.53339
Americas (WHO),WHO_AMR,2022,83.83384
Americas (WHO),WHO_AMR,2023,84.13867
Americas (WHO),WHO_AMR,2024,84.40576
Andorra,AND,2000,90.64
Andorra,AND,2001,90.64
Andorra,AND,2002,90.64
Andorra,AND,2003,90.64
Andorra,AND,2004,90.64
Andorra,AND,2005,90.64001
Andorra,AND,2006,90.64
Andorra,AND,2007,90.64
Andorra,AND,2008,90.64
Andorra,AND,2009,90.64
Andorra,AND,2010,90.64
Andorra,AND,2011,90.64
Andorra,AND,2012,90.64
Andorra,AND,2013,90.64001
Andorra,AND,2014,90.64001
Andorra,AND,2015,90.64
Andorra,AND,2016,90.64
Andorra,AND,2017,90.64
Andorra,AND,2018,90.64
Andorra,AND,2019,90.64001
Andorra,AND,2020,90.64
Andorra,AND,2021,90.64001
Andorra,AND,2022,90.64
Andorra,AND,2023,90.64
Andorra,AND,2024,90.64
Armenia,ARM,2000,82.65596
Armenia,ARM,2001,82.72642
Armenia,ARM,2002,82.802956
Armenia,ARM,2003,82.88185
Armenia,ARM,2004,82.961136
Armenia,ARM,2005,83.04078
Armenia,ARM,2006,83.12084
Armenia,ARM,2007,83.20126
Armenia,ARM,2008,83.28209
Armenia,ARM,2009,83.21591
Armenia,ARM,2010,83.149826
Armenia,ARM,2011,83.08385
Armenia,ARM,2012,83.01797
Armenia,ARM,2013,82.95256
Armenia,ARM,2014,82.8875
Armenia,ARM,2015,82.82264
Armenia,ARM,2016,82.757835
Armenia,ARM,2017,82.69294
Armenia,ARM,2018,82.57941
Armenia,ARM,2019,82.427925
Armenia,ARM,2020,82.27677
Armenia,ARM,2021,82.125984
Armenia,ARM,2022,82.35603
Armenia,ARM,2023,82.21443
Armenia,ARM,2024,82.07282
Austria,AUT,2000,96.87254
Austria,AUT,2001,97.02524
Austria,AUT,2002,97.17794
Austria,AUT,2003,97.330635
Austria,AUT,2004,97.48334
Austria,AUT,2005,97.63604
Austria,AUT,2006,97.788734
Austria,AUT,2007,97.94143
Austria,AUT,2008,98.09413
Austria,AUT,2009,98.246826
Austria,AUT,2010,98.39953
Austria,AUT,2011,98.55223
Austria,AUT,2012,98.704926
Austria,AUT,2013,98.85762
Austria,AUT,2014,98.91103
Austria,AUT,2015,98.909424
Austria,AUT,2016,98.907814
Austria,AUT,2017,98.9062
Austria,AUT,2018,98.90448
Austria,AUT,2019,98.902626
Austria,AUT,2020,98.90064
Austria,AUT,2021,98.898544
Austria,AUT,2022,98.896324
Austria,AUT,2023,98.894
Austria,AUT,2024,98.89153
Azerbaijan,AZE,2000,48.81638
Azerbaijan,AZE,2001,49.177975
Azerbaijan,AZE,2002,49.537865
Azerbaijan,AZE,2003,49.89707
Azerbaijan,AZE,2004,50.25508
Azerbaijan,AZE,2005,50.61139
Azerbaijan,AZE,2006,50.96651
Azerbaijan,AZE,2007,51.32094
Azerbaijan,AZE,2008,51.673676
Azerbaijan,AZE,2009,52.02522
Azerbaijan,AZE,2010,52.38341
Azerbaijan,AZE,2011,52.747623
Azerbaijan,AZE,2012,53.117718
Azerbaijan,AZE,2013,53.49405
Azerbaijan,AZE,2014,53.87598
Azerbaijan,AZE,2015,54.263397
Azerbaijan,AZE,2016,54.656155
Azerbaijan,AZE,2017,55.054123
Azerbaijan,AZE,2018,55.457165
Azerbaijan,AZE,2019,55.864685
Azerbaijan,AZE,2020,56.277016
Azerbaijan,AZE,2021,56.693115
Azerbaijan,AZE,2022,57.091537
Azerbaijan,AZE,2023,57.45046
Azerbaijan,AZE,2024,57.81183
Bahrain,BHR,2000,98.69526
Bahrain,BHR,2001,98.72941
Bahrain,BHR,2002,98.76355
Bahrain,BHR,2003,98.79769
Bahrain,BHR,2004,98.83183
Bahrain,BHR,2005,98.865974
Bahrain,BHR,2006,98.900116
Bahrain,BHR,2007,98.92892
Bahrain,BHR,2008,98.927
Bahrain,BHR,2009,98.92508
Bahrain,BHR,2010,98.923164
Bahrain,BHR,2011,98.92124
Bahrain,BHR,2012,98.91933
Bahrain,BHR,2013,98.917404
Bahrain,BHR,2014,98.91549
Bahrain,BHR,2015,98.91357
Bahrain,BHR,2016,98.91165
Bahrain,BHR,2017,98.90973
Bahrain,BHR,2018,98.907814
Bahrain,BHR,2019,98.90589
Bahrain,BHR,2020,98.90398
Bahrain,BHR,2021,98.90398
Bahrain,BHR,2022,98.90398
Bahrain,BHR,2023,98.90398
Bahrain,BHR,2024,98.90398
Bangladesh,BGD,2000,55.30866
Bangladesh,BGD,2001,55.31502
Bangladesh,BGD,2002,55.29361
Bangladesh,BGD,2003,55.26868
Bangladesh,BGD,2004,55.24038
Bangladesh,BGD,2005,55.209023
Bangladesh,BGD,2006,55.17405
Bangladesh,BGD,2007,55.135597
Bangladesh,BGD,2008,55.09382
Bangladesh,BGD,2009,55.048862
Bangladesh,BGD,2010,55.00033
Bangladesh,BGD,2011,54.94857
Bangladesh,BGD,2012,55.296654
Bangladesh,BGD,2013,55.660675
Bangladesh,BGD,2014,56.040234
Bangladesh,BGD,2015,56.436035
Bangladesh,BGD,2016,56.847847
Bangladesh,BGD,2017,57.275997
Bangladesh,BGD,2018,57.720623
Bangladesh,BGD,2019,58.18171
Bangladesh,BGD,2020,58.659256
Bangladesh,BGD,2021,59.15342
Bangladesh,BGD,2022,59.160107
Bangladesh,BGD,2023,59.142803
Bangladesh,BGD,2024,59.125427
Belarus,BLR,2000,81.93724
Belarus,BLR,2001,82.07007
Belarus,BLR,2002,82.19705
Belarus,BLR,2003,82.32479
Belarus,BLR,2004,83.3861
Belarus,BLR,2005,84.43014
Belarus,BLR,2006,85.46151
Belarus,BLR,2007,86.49585
Belarus,BLR,2008,87.53245
Belarus,BLR,2009,88.53946
Belarus,BLR,2010,89.51802
Belarus,BLR,2011,90.489296
Belarus,BLR,2012,91.43805
Belarus,BLR,2013,92.36549
Belarus,BLR,2014,92.46306
Belarus,BLR,2015,92.538086
Belarus,BLR,2016,92.598946
Belarus,BLR,2017,92.6503
Belarus,BLR,2018,92.705185
Belarus,BLR,2019,92.77456
Belarus,BLR,2020,92.84445
Belarus,BLR,2021,92.91306
Belarus,BLR,2022,92.98175
Belarus,BLR,2023,93.045746
Belarus,BLR,2024,93.05975
Belgium,BEL,2000,99.75394
Belgium,BEL,2001,99.75394
Belgium,BEL,2002,99.75394
Belgium,BEL,2003,99.75394
Belgium,BEL,2004,99.75394
Belgium,BEL,2005,99.753944
Belgium,BEL,2006,99.753944
Belgium,BEL,2007,99.75394
Belgium,BEL,2008,99.75394
Belgium,BEL,2009,99.75394
Belgium,BEL,2010,99.74015
Belgium,BEL,2011,99.726364
Belgium,BEL,2012,99.71258
Belgium,BEL,2013,99.69879
Belgium,BEL,2014,99.685005
Belgium,BEL,2015,99.67121
Belgium,BEL,2016,99.657425
Belgium,BEL,2017,99.64365
Belgium,BEL,2018,99.62985
Belgium,BEL,2019,99.616066
Belgium,BEL,2020,99.60228
Belgium,BEL,2021,99.58849
Belgium,BEL,2022,99.57471
Belgium,BEL,2023,99.56091
Belgium,BEL,2024,99.547134
Benin,BEN,2000,14.208856
Benin,BEN,2001,14.312766
Benin,BEN,2002,14.431884
Benin,BEN,2003,14.576163
Benin,BEN,2004,14.720905
Benin,BEN,2005,14.865664
Benin,BEN,2006,15.010659
Benin,BEN,2007,15.156113
Benin,BEN,2008,15.3018
Benin,BEN,2009,15.44728
Benin,BEN,2010,15.592993
Benin,BEN,2011,15.738938
Benin,BEN,2012,15.885113
Benin,BEN,2013,16.031076
Benin,BEN,2014,16.17837
Benin,BEN,2015,16.326546
Benin,BEN,2016,16.475605
Benin,BEN,2017,16.625542
Benin,BEN,2018,16.776356
Benin,BEN,2019,16.928041
Benin,BEN,2020,17.080595
Benin,BEN,2021,17.233578
Benin,BEN,2022,17.387426
Benin,BEN,2023,17.541918
Benin,BEN,2024,17.696833
Bhutan,BTN,2000,28.440275
Bhutan,BTN,2001,28.84912
Bhutan,BTN,2002,29.256947
Bhutan,BTN,2003,29.66353
Bhutan,BTN,2004,30.06881
Bhutan,BTN,2005,30.465115
Bhutan,BTN,2006,30.794453
Bhutan,BTN,2007,31.121298
Bhutan,BTN,2008,31.445564
Bhutan,BTN,2009,31.766724
Bhutan,BTN,2010,32.08501
Bhutan,BTN,2011,34.843407
Bhutan,BTN,2012,37.589268
Bhutan,BTN,2013,40.321358
Bhutan,BTN,2014,43.7054
Bhutan,BTN,2015,47.101536
Bhutan,BTN,2016,50.508705
Bhutan,BTN,2017,53.926003
Bhutan,BTN,2018,57.2683
Bhutan,BTN,2019,60.592228
Bhutan,BTN,2020,63.618935
Bhutan,BTN,2021,66.61621
Bhutan,BTN,2022,67.78294
Bhutan,BTN,2023,66.654076
Bhutan,BTN,2024,65.594215
Bonaire Sint Eustatius and Saba,BES,2000,83.55975
Bonaire Sint Eustatius and Saba,BES,2001,84.33308
Bonaire Sint Eustatius and Saba,BES,2002,85.10735
Bonaire Sint Eustatius and Saba,BES,2003,85.88258
Bonaire Sint Eustatius and Saba,BES,2004,86.658775
Bonaire Sint Eustatius and Saba,BES,2005,87.43591
Bonaire Sint Eustatius and Saba,BES,2006,88.21401
Bonaire Sint Eustatius and Saba,BES,2007,88.993065
Bonaire Sint Eustatius and Saba,BES,2008,89.77307
Bonaire Sint Eustatius and Saba,BES,2009,90.55403
Bonaire Sint Eustatius and Saba,BES,2010,91.335945
Bonaire Sint Eustatius and Saba,BES,2011,92.11881
Bonaire Sint Eustatius and Saba,BES,2012,92.90263
Bonaire Sint Eustatius and Saba,BES,2013,93.687416
Bonaire Sint Eustatius and Saba,BES,2014,94.473145
Bonaire Sint Eustatius and Saba,BES,2015,95.259834
Bonaire Sint Eustatius and Saba,BES,2016,96.04748
Bonaire Sint Eustatius and Saba,BES,2017,96.83607
Bonaire Sint Eustatius and Saba,BES,2018,97.62562
Bonaire Sint Eustatius and Saba,BES,2019,98.41612
Bonaire Sint Eustatius and Saba,BES,2020,99.20759
Bonaire Sint Eustatius and Saba,BES,2021,100
Bonaire Sint Eustatius and Saba,BES,2022,100
Bonaire Sint Eustatius and Saba,BES,2023,100
Bonaire Sint Eustatius and Saba,BES,2024,100
Bosnia and Herzegovina,BIH,2000,87.47027
Bosnia and Herzegovina,BIH,2001,87.56001
Bosnia and Herzegovina,BIH,2002,87.649216
Bosnia and Herzegovina,BIH,2003,87.73781
Bosnia and Herzegovina,BIH,2004,87.82586
Bosnia and Herzegovina,BIH,2005,87.91327
Bosnia and Herzegovina,BIH,2006,88.00005
Bosnia and Herzegovina,BIH,2007,88.086296
Bosnia and Herzegovina,BIH,2008,88.17192
Bosnia and Herzegovina,BIH,2009,88.25693
Bosnia and Herzegovina,BIH,2010,88.34131
Bosnia and Herzegovina,BIH,2011,88.42512
Bosnia and Herzegovina,BIH,2012,88.50832
Bosnia and Herzegovina,BIH,2013,88.59088
Bosnia and Herzegovina,BIH,2014,88.672844
Bosnia and Herzegovina,BIH,2015,88.74331
Bosnia and Herzegovina,BIH,2016,88.76248
Bosnia and Herzegovina,BIH,2017,88.85571
Bosnia and Herzegovina,BIH,2018,88.86462
Bosnia and Herzegovina,BIH,2019,88.736786
Bosnia and Herzegovina,BIH,2020,88.15272
Bosnia and Herzegovina,BIH,2021,87.56864
Bosnia and Herzegovina,BIH,2022,86.98456
Bosnia and Herzegovina,BIH,2023,86.400475
Bosnia and Herzegovina,BIH,2024,86.40011
Botswana,BWA,2000,59.196995
Botswana,BWA,2001,59.602856
Botswana,BWA,2002,59.82907
Botswana,BWA,2003,60.028244
Botswana,BWA,2004,60.226437
Botswana,BWA,2005,60.422066
Botswana,BWA,2006,61.690678
Botswana,BWA,2007,63.508972
Botswana,BWA,2008,65.30496
Botswana,BWA,2009,67.07313
Botswana,BWA,2010,68.81618
Botswana,BWA,2011,70.53226
Botswana,BWA,2012,70.44698
Botswana,BWA,2013,69.875435
Botswana,BWA,2014,69.30036
Botswana,BWA,2015,68.72162
Botswana,BWA,2016,68.139305
Botswana,BWA,2017,67.55308
Botswana,BWA,2018,66.96084
Botswana,BWA,2019,66.36296
Botswana,BWA,2020,65.75935
Botswana,BWA,2021,65.14995
Botswana,BWA,2022,64.535515
Botswana,BWA,2023,63.915768
Botswana,BWA,2024,63.291042
Brazil,BRA,2000,75.78449
Brazil,BRA,2001,76.32582
Brazil,BRA,2002,76.849236
Brazil,BRA,2003,77.365005
Brazil,BRA,2004,77.78534
Brazil,BRA,2005,78.04189
Brazil,BRA,2006,78.293434
Brazil,BRA,2007,78.54003
Brazil,BRA,2008,78.78177
Brazil,BRA,2009,79.01825
Brazil,BRA,2010,79.25004
Brazil,BRA,2011,79.47928
Brazil,BRA,2012,79.70387
Brazil,BRA,2013,80.46634
Brazil,BRA,2014,81.227776
Brazil,BRA,2015,81.98774
Brazil,BRA,2016,82.73408
Brazil,BRA,2017,83.50288
Brazil,BRA,2018,84.25789
Brazil,BRA,2019,85.01148
Brazil,BRA,2020,85.74191
Brazil,BRA,2021,86.43459
Brazil,BRA,2022,87.12466
Brazil,BRA,2023,87.95283
Brazil,BRA,2024,88.62396
Bulgaria,BGR,2000,89.59609
Bulgaria,BGR,2001,90.12666
Bulgaria,BGR,2002,90.65758
Bulgaria,BGR,2003,91.188705
Bulgaria,BGR,2004,91.72007
Bulgaria,BGR,2005,92.251656
Bulgaria,BGR,2006,92.78348
Bulgaria,BGR,2007,93.315544
Bulgaria,BGR,2008,93.84785
Bulgaria,BGR,2009,94.38039
Bulgaria,BGR,2010,94.913185
Bulgaria,BGR,2011,95.446236
Bulgaria,BGR,2012,95.979576
Bulgaria,BGR,2013,96.51322
Bulgaria,BGR,2014,97.03682
Bulgaria,BGR,2015,96.951225
Bulgaria,BGR,2016,96.86622
Bulgaria,BGR,2017,96.78181
Bulgaria,BGR,2018,96.69797
Bulgaria,BGR,2019,96.614716
Bulgaria,BGR,2020,96.53205
Bulgaria,BGR,2021,96.44997
Bulgaria,BGR,2022,96.36844
Bulgaria,BGR,2023,96.28749
Bulgaria,BGR,2024,96.20708
Cambodia,KHM,2000,17.1456
Cambodia,KHM,2001,17.611435
Cambodia,KHM,2002,18.077368
Cambodia,KHM,2003,18.543394
Cambodia,KHM,2004,19.00988
Cambodia,KHM,2005,19.476826
Cambodia,KHM,2006,19.943867
Cambodia,KHM,2007,20.41137
Cambodia,KHM,2008,20.89281
Cambodia,KHM,2009,21.447674
Cambodia,KHM,2010,22.004652
Cambodia,KHM,2011,22.563757
Cambodia,KHM,2012,23.124992
Cambodia,KHM,2013,23.687996
Cambodia,KHM,2014,24.25351
Cambodia,KHM,2015,24.82117
Cambodia,KHM,2016,25.390985
Cambodia,KHM,2017,25.962595
Cambodia,KHM,2018,26.538212
Cambodia,KHM,2019,27.11748
Cambodia,KHM,2020,27.700777
Cambodia,KHM,2021,28.28775
Cambodia,KHM,2022,28.878777
Cambodia,KHM,2023,29.445082
Cambodia,KHM,2024,29.985577
Canada,CAN,2000,99.04074
Canada,CAN,2001,99.0501
Canada,CAN,2002,99.0523
Canada,CAN,2003,99.054535
Canada,CAN,2004,99.05673
Canada,CAN,2005,98.944374
Canada,CAN,2006,98.83219
Canada,CAN,2007,98.72191
Canada,CAN,2008,98.61107
Canada,CAN,2009,98.49966
Canada,CAN,2010,98.387695
Canada,CAN,2011,98.2749
Canada,CAN,2012,98.15993
Canada,CAN,2013,98.0449
Canada,CAN,2014,97.92982
Canada,CAN,2015,97.8147
Canada,CAN,2016,97.699524
Canada,CAN,2017,97.58436
Canada,CAN,2018,97.46916
Canada,CAN,2019,97.35387
Canada,CAN,2020,97.238434
Canada,CAN,2021,97.12281
Canada,CAN,2022,97.00695
Canada,CAN,2023,96.8908
Canada,CAN,2024,96.89032
Central African Republic,CAF,2000,8.530865
Central African Republic,CAF,2001,8.396017
Central African Republic,CAF,2002,8.2617035
Central African Republic,CAF,2003,8.127789
Central African Republic,CAF,2004,7.994275
Central African Republic,CAF,2005,7.8637824
Central African Republic,CAF,2006,7.736172
Central African Republic,CAF,2007,7.6114297
Central African Republic,CAF,2008,7.4892926
Central African Republic,CAF,2009,7.369628
Central African Republic,CAF,2010,7.2524133
Central African Republic,CAF,2011,7.137399
Central African Republic,CAF,2012,7.024562
Central African Republic,CAF,2013,6.9137635
Central African Republic,CAF,2014,6.804762
Central African Republic,CAF,2015,6.697531
Central African Republic,CAF,2016,6.5920353
Central African Republic,CAF,2017,6.4879375
Central African Republic,CAF,2018,6.385207
Central African Republic,CAF,2019,6.283711
Central African Republic,CAF,2020,6.183318
Central African Republic,CAF,2021,6.083898
Central African Republic,CAF,2022,6.126445
Central African Republic,CAF,2023,6.1709747
Central African Republic,CAF,2024,6.217488
Central and Southern Asia (UN SDG),UNSDG_CSA,2000,47.756535
Central and Southern Asia (UN SDG),UNSDG_CSA,2001,48.897686
Central and Southern Asia (UN SDG),UNSDG_CSA,2002,50.05264
Central and Southern Asia (UN SDG),UNSDG_CSA,2003,51.217064
Central and Southern Asia (UN SDG),UNSDG_CSA,2004,52.423477
Central and Southern Asia (UN SDG),UNSDG_CSA,2005,53.61778
Central and Southern Asia (UN SDG),UNSDG_CSA,2006,54.818703
Central and Southern Asia (UN SDG),UNSDG_CSA,2007,56.03893
Central and Southern Asia (UN SDG),UNSDG_CSA,2008,57.25777
Central and Southern Asia (UN SDG),UNSDG_CSA,2009,58.46745
Central and Southern Asia (UN SDG),UNSDG_CSA,2010,59.68028
Central and Southern Asia (UN SDG),UNSDG_CSA,2011,60.8874
Central and Southern Asia (UN SDG),UNSDG_CSA,2012,62.092247
Central and Southern Asia (UN SDG),UNSDG_CSA,2013,63.303387
Central and Southern Asia (UN SDG),UNSDG_CSA,2014,64.520485
Central and Southern Asia (UN SDG),UNSDG_CSA,2015,65.74702
Central and Southern Asia (UN SDG),UNSDG_CSA,2016,66.981224
Central and Southern Asia (UN SDG),UNSDG_CSA,2017,68.22036
Central and Southern Asia (UN SDG),UNSDG_CSA,2018,69.449425
Central and Southern Asia (UN SDG),UNSDG_CSA,2019,70.67886
Central and Southern Asia (UN SDG),UNSDG_CSA,2020,71.8977
Central and Southern Asia (UN SDG),UNSDG_CSA,2021,73.12132
Central and Southern Asia (UN SDG),UNSDG_CSA,2022,74.35055
Central and Southern Asia (UN SDG),UNSDG_CSA,2023,75.67719
Central and Southern Asia (UN SDG),UNSDG_CSA,2024,76.983086
Chad,TCD,2000,5.520874
Chad,TCD,2001,5.5543633
Chad,TCD,2002,5.586597
Chad,TCD,2003,5.6178207
Chad,TCD,2004,5.6479144
Chad,TCD,2005,5.6768794
Chad,TCD,2006,5.704718
Chad,TCD,2007,5.73156
Chad,TCD,2008,5.7571507
Chad,TCD,2009,5.781619
Chad,TCD,2010,5.807365
Chad,TCD,2011,5.8344636
Chad,TCD,2012,5.86313
Chad,TCD,2013,5.893311
Chad,TCD,2014,5.9250875
Chad,TCD,2015,5.958684
Chad,TCD,2016,5.994189
Chad,TCD,2017,6.031694
Chad,TCD,2018,6.071436
Chad,TCD,2019,6.113368
Chad,TCD,2020,6.157883
Chad,TCD,2021,6.2049384
Chad,TCD,2022,6.247049
Chad,TCD,2023,6.292295
Chad,TCD,2024,6.3408265
Chile,CHL,2000,91.47526
Chile,CHL,2001,91.95937
Chile,CHL,2002,92.416626
Chile,CHL,2003,92.79445
Chile,CHL,2004,93.17365
Chile,CHL,2005,93.55305
Chile,CHL,2006,93.93375
Chile,CHL,2007,94.315
Chile,CHL,2008,94.69743
Chile,CHL,2009,95.080376
Chile,CHL,2010,95.46384
Chile,CHL,2011,95.84834
Chile,CHL,2012,96.23334
Chile,CHL,2013,96.61903
Chile,CHL,2014,96.919205
Chile,CHL,2015,96.989845
Chile,CHL,2016,97.060265
Chile,CHL,2017,97.13048
Chile,CHL,2018,97.20038
Chile,CHL,2019,97.3067
Chile,CHL,2020,97.41251
Chile,CHL,2021,97.517784
Chile,CHL,2022,97.62234
Chile,CHL,2023,97.7261
Chile,CHL,2024,97.817055
Colombia,COL,2000,67.73082
Colombia,COL,2001,68.04472
Colombia,COL,2002,68.35502
Colombia,COL,2003,68.661736
Colombia,COL,2004,68.964424
Colombia,COL,2005,69.26312
Colombia,COL,2006,69.557846
Colombia,COL,2007,69.858955
Colombia,COL,2008,70.156296
Colombia,COL,2009,70.44988
Colombia,COL,2010,70.7393
Colombia,COL,2011,71.024574
Colombia,COL,2012,71.30619
Colombia,COL,2013,71.58374
Colombia,COL,2014,71.85723
Colombia,COL,2015,72.127174
Colombia,COL,2016,72.39358
Colombia,COL,2017,72.65604
Colombia,COL,2018,72.91458
Colombia,COL,2019,73.169235
Colombia,COL,2020,73.4205
Colombia,COL,2021,73.66794
Colombia,COL,2022,73.91204
Colombia,COL,2023,74.152374
Colombia,COL,2024,74.3393
Congo,COG,2000,27.90191
Congo,COG,2001,28.057352
Congo,COG,2002,28.25072
Congo,COG,2003,28.443996
Congo,COG,2004,29.997093
Congo,COG,2005,31.571962
Congo,COG,2006,33.168354
Congo,COG,2007,34.786396
Congo,COG,2008,36.42668
Congo,COG,2009,38.089073
Congo,COG,2010,39.77385
Congo,COG,2011,41.480038
Congo,COG,2012,42.471806
Congo,COG,2013,43.006
Congo,COG,2014,43.54032
Congo,COG,2015,44.074524
Congo,COG,2016,44.608337
Congo,COG,2017,45.14152
Congo,COG,2018,45.325253
Congo,COG,2019,45.508984
Congo,COG,2020,45.692314
Congo,COG,2021,45.874844
Costa Rica,CRI,2000,76.55743
Costa Rica,CRI,2001,76.88052
Costa Rica,CRI,2002,77.18986
Costa Rica,CRI,2003,77.48557
Costa Rica,CRI,2004,77.76771
Costa Rica,CRI,2005,78.03625
Costa Rica,CRI,2006,78.29167
Costa Rica,CRI,2007,78.53414
Costa Rica,CRI,2008,78.76404
Costa Rica,CRI,2009,78.98136
Costa Rica,CRI,2010,79.18679
Costa Rica,CRI,2011,79.38052
Costa Rica,CRI,2012,79.562325
Costa Rica,CRI,2013,79.73296
Costa Rica,CRI,2014,79.89322
