country,field,num_patent_applications,num_patent_granted
France,Control,221,146
France,Analytics_and_Algorithms,174,97
France,Generic_and_Unspecified,416,254
France,Measuring_and_Testing,224,153
France,Transportation,230,155
France,Telecommunications,215,139
United Kingdom,Business,278,127
United Kingdom,Measuring_and_Testing,422,223
United Kingdom,Control,353,206
United Kingdom,Personal_Devices_and_Computing,1067,618
United Kingdom,Security__eg_cybersecurity,193,101
United Kingdom,Transportation,305,160
United Kingdom,Generic_and_Unspecified,416,185
United Kingdom,Planning_and_Scheduling,211,100
United Kingdom,Industrial_and_Manufacturing,136,78
United Kingdom,Machine_Learning,2575,1153
United Kingdom,Computer_Vision,726,404
United Kingdom,Analytics_and_Algorithms,398,148
United Kingdom,Physical_Sciences_and_Engineering,190,117
United Kingdom,Energy_Management,85,46
United Kingdom,Banking_and_Finance,107,53
United Kingdom,Speech_Processing,137,80
United Kingdom,All,3048,1354
United Kingdom,Life_Sciences,497,201
United Kingdom,Ontology_Engineering,77,30
United Kingdom,Logic_Programming,200,115
United Kingdom,Telecommunications,621,297
United Kingdom,Knowledge_Representation,115,61
United Kingdom,Probabilistic_Reasoning,237,132
Greece,Machine_Learning,50,42
Greece,Personal_Devices_and_Computing,30,24
Greece,All,60,47
Hungary,Machine_Learning,30,23
Hungary,All,39,31
Israel,Telecommunications,52,32
Israel,Life_Sciences,29,5
Israel,Computer_Vision,42,22
Israel,Transportation,21,10
Israel,All,154,65
Israel,Analytics_and_Algorithms,31,11
Israel,Machine_Learning,119,49
Israel,Personal_Devices_and_Computing,75,43
Israel,Generic_and_Unspecified,32,15
Israel,Control,22,12
India,Business,194,105
India,Control,83,75
India,Computer_Vision,231,195
India,Machine_Learning,546,413
India,Transportation,37,29
India,Telecommunications,147,111
India,Probabilistic_Reasoning,109,81
India,Banking_and_Finance,35,19
India,All,877,613
India,Planning_and_Scheduling,140,75
India,Knowledge_Representation,142,104
India,Ontology_Engineering,61,45
India,Logic_Programming,240,172
India,Industrial_and_Manufacturing,29,21
India,Generic_and_Unspecified,158,97
India,Measuring_and_Testing,52,43
India,Analytics_and_Algorithms,89,70
India,Life_Sciences,123,87
India,Personal_Devices_and_Computing,510,399
India,Security__eg_cybersecurity,46,37
Italy,Computer_Vision,77,24
Italy,All,360,114
Italy,Security__eg_cybersecurity,26,5
Italy,Life_Sciences,91,29
Italy,Transportation,43,24
Italy,Industrial_and_Manufacturing,33,16
Italy,Machine_Learning,289,96
Italy,Generic_and_Unspecified,68,17
Italy,Personal_Devices_and_Computing,84,33
Italy,Analytics_and_Algorithms,71,32
Italy,Measuring_and_Testing,67,31
Japan,Computer_Vision,4970,3479
Japan,Personal_Devices_and_Computing,6617,5135
Japan,All,22622,15071
Japan,Physical_Sciences_and_Engineering,749,550
Japan,Generic_and_Unspecified,4146,2807
Japan,Logic_Programming,1825,1429
Japan,Banking_and_Finance,474,363
Japan,Energy_Management,762,600
Japan,Planning_and_Scheduling,1133,811
Japan,Security__eg_cybersecurity,628,482
Japan,Transportation,2176,1810
Japan,Measuring_and_Testing,2490,1758
Japan,Business,1591,1132
Japan,Speech_Processing,812,600
Japan,Life_Sciences,3723,2255
Japan,Control,3481,2895
Japan,Telecommunications,2554,1855
Japan,Ontology_Engineering,171,114
Japan,Knowledge_Representation,735,571
Japan,Analytics_and_Algorithms,1964,1339
Japan,Machine_Learning,18095,11984
Japan,Industrial_and_Manufacturing,1658,1220
Japan,Probabilistic_Reasoning,1182,891
South Korea,Life_Sciences,6011,3734
South Korea,Physical_Sciences_and_Engineering,1631,1066
South Korea,Energy_Management,2022,1327
South Korea,Planning_and_Scheduling,2682,1504
South Korea,Business,6682,3601
South Korea,Ontology_Engineering,507,299
South Korea,Probabilistic_Reasoning,1251,898
South Korea,Security__eg_cybersecurity,2426,1537
South Korea,Computer_Vision,8415,5532
South Korea,Banking_and_Finance,1261,758
South Korea,Transportation,2687,1785
South Korea,Telecommunications,6874,4168
South Korea,Industrial_and_Manufacturing,2441,1568
South Korea,Generic_and_Unspecified,10102,6482
South Korea,Personal_Devices_and_Computing,11278,7272
South Korea,Measuring_and_Testing,4234,2767
South Korea,Speech_Processing,2369,1503
South Korea,Knowledge_Representation,834,520
South Korea,Analytics_and_Algorithms,2753,1775
South Korea,Control,3124,2177
South Korea,Machine_Learning,28535,18447
South Korea,Logic_Programming,1829,1136
South Korea,All,38919,24918
Lithuania,All,30,27
Luxembourg,Measuring_and_Testing,37,36
Luxembourg,Computer_Vision,23,23
Luxembourg,Life_Sciences,17,17
Luxembourg,Planning_and_Scheduling,26,26
Luxembourg,Personal_Devices_and_Computing,61,59
Luxembourg,All,175,170
Luxembourg,Generic_and_Unspecified,32,32
Luxembourg,Control,19,17
Luxembourg,Machine_Learning,132,127
Morocco,All,29,16
Mexico,Energy_Management,21,15
Mexico,Security__eg_cybersecurity,31,16
Mexico,Transportation,90,79
Mexico,Planning_and_Scheduling,75,49
Mexico,Physical_Sciences_and_Engineering,70,39
Mexico,Telecommunications,123,74
Mexico,Business,103,60
Mexico,Measuring_and_Testing,146,95
Mexico,All,678,365
Mexico,Personal_Devices_and_Computing,186,138
Mexico,Industrial_and_Manufacturing,83,49
Mexico,Analytics_and_Algorithms,87,44
Mexico,Machine_Learning,486,276
Mexico,Control,124,97
Mexico,Computer_Vision,134,91
Mexico,Logic_Programming,48,31
Mexico,Generic_and_Unspecified,174,76
Mexico,Probabilistic_Reasoning,41,29
Mexico,Life_Sciences,194,95
Malaysia,All,74,65
Malaysia,Computer_Vision,17,14
Malaysia,Machine_Learning,46,42
Netherlands,Computer_Vision,43,43
Netherlands,Machine_Learning,144,140
Netherlands,Analytics_and_Algorithms,27,26
Netherlands,Measuring_and_Testing,27,25
Netherlands,Life_Sciences,39,38
Netherlands,All,164,160
Netherlands,Personal_Devices_and_Computing,42,41
Norway,Machine_Learning,27,15
Norway,All,34,21
New Zealand,Machine_Learning,39,32
New Zealand,All,63,51
New Zealand,Personal_Devices_and_Computing,23,20
New Zealand,Generic_and_Unspecified,21,16
New Zealand,Life_Sciences,32,29
New Zealand,Computer_Vision,17,16
Peru,All,31,16
Peru,Machine_Learning,19,12
Philippines,All,19,7
Poland,Life_Sciences,33,25
Poland,Machine_Learning,92,66
Poland,Computer_Vision,26,22
Poland,Telecommunications,22,20
Poland,Personal_Devices_and_Computing,41,33
Poland,Generic_and_Unspecified,29,25
Poland,All,124,93
Portugal,All,50,37
Portugal,Life_Sciences,17,12
Portugal,Machine_Learning,32,25
Romania,Machine_Learning,36,6
Serbia,All,27,5
Serbia,Machine_Learning,22,4
Russia,All,1124,1062
Russia,Personal_Devices_and_Computing,494,473
Russia,Logic_Programming,130,120
Russia,Control,124,120
Russia,Business,89,79
Russia,Transportation,99,98
Russia,Banking_and_Finance,30,26
Russia,Industrial_and_Manufacturing,33,32
Russia,Measuring_and_Testing,171,167
Russia,Physical_Sciences_and_Engineering,61,56
Russia,Security__eg_cybersecurity,95,90
Russia,Probabilistic_Reasoning,139,137
Russia,Generic_and_Unspecified,180,166
Russia,Ontology_Engineering,23,22
Russia,Planning_and_Scheduling,54,49
Russia,Machine_Learning,810,769
Russia,Computer_Vision,183,178
Russia,Life_Sciences,160,153
Russia,Knowledge_Representation,49,44
Russia,Speech_Processing,36,31
Russia,Telecommunications,165,158
Sweden,All,140,76
Sweden,Generic_and_Unspecified,24,12
Sweden,Measuring_and_Testing,30,21
Sweden,Life_Sciences,27,13
Sweden,Personal_Devices_and_Computing,52,26
Sweden,Transportation,29,18
Sweden,Computer_Vision,26,9
Sweden,Machine_Learning,115,65
Sweden,Telecommunications,38,24
Sweden,Control,42,29
Singapore,Banking_and_Finance,70,53
Singapore,Machine_Learning,455,302
Singapore,Control,60,48
Singapore,Security__eg_cybersecurity,62,48
Singapore,Planning_and_Scheduling,74,53
Singapore,Personal_Devices_and_Computing,314,229
Singapore,Business,111,72
Singapore,Telecommunications,122,105
Singapore,Knowledge_Representation,56,36
Singapore,Physical_Sciences_and_Engineering,35,25
Singapore,Generic_and_Unspecified,151,104
Singapore,Industrial_and_Manufacturing,24,17
Singapore,Analytics_and_Algorithms,72,49
Singapore,All,642,426
Singapore,Logic_Programming,100,67
Singapore,Measuring_and_Testing,85,66
Singapore,Transportation,43,34
Singapore,Life_Sciences,175,112
Singapore,Computer_Vision,163,121
Turkey,Generic_and_Unspecified,73,3
Turkey,All,175,14
Turkey,Machine_Learning,102,10
Turkey,Telecommunications,35,6
Turkey,Life_Sciences,35,1
Turkey,Business,26,3
Turkey,Measuring_and_Testing,21,0
Turkey,Personal_Devices_and_Computing,43,7
Taiwan,Industrial_and_Manufacturing,124,104
Taiwan,Measuring_and_Testing,195,155
Taiwan,Business,118,96
Taiwan,Planning_and_Scheduling,81,67
Taiwan,Personal_Devices_and_Computing,681,587
Taiwan,Life_Sciences,379,286
Taiwan,Physical_Sciences_and_Engineering,50,30
Taiwan,Ontology_Engineering,45,36
Taiwan,Knowledge_Representation,57,50
Taiwan,Generic_and_Unspecified,718,576
Taiwan,Logic_Programming,145,122
Taiwan,Transportation,45,39
Taiwan,Control,156,130
Taiwan,Computer_Vision,494,426
Taiwan,Machine_Learning,2098,1736
Taiwan,Telecommunications,261,222
Taiwan,All,2887,2376
Taiwan,Energy_Management,57,44
Taiwan,Probabilistic_Reasoning,136,124
Taiwan,Analytics_and_Algorithms,222,176
Ukraine,Machine_Learning,45,44
Ukraine,All,55,54
United States,Industrial_and_Manufacturing,2791,1989
United States,Physical_Sciences_and_Engineering,2171,1506
United States,Knowledge_Representation,6836,5320
United States,Measuring_and_Testing,8034,6056
United States,Banking_and_Finance,3756,2818
United States,Planning_and_Scheduling,6836,4838
United States,Control,9912,8010
United States,Personal_Devices_and_Computing,41042,33068
United States,Life_Sciences,11261,6861
United States,Probabilistic_Reasoning,6204,4765
United States,Computer_Vision,17253,13535
United States,Ontology_Engineering,2380,1883
United States,Machine_Learning,59230,44775
United States,Business,10909,7752
United States,Security__eg_cybersecurity,5431,4418
United States,Energy_Management,1511,1125
United States,Speech_Processing,4193,3380
United States,Generic_and_Unspecified,12406,8808
United States,All,78339,58746
United States,Analytics_and_Algorithms,8403,5778
United States,Transportation,7765,6368
United States,Telecommunications,18718,14879
United States,Logic_Programming,13489,10664
South Africa,Machine_Learning,106,103
South Africa,Generic_and_Unspecified,55,52
South Africa,All,164,156
Argentina,Ontology_Engineering,0,0
Austria,Ontology_Engineering,0,0
Austria,Speech_Processing,0,0
Azerbaijan,Ontology_Engineering,0,0
Azerbaijan,Computer_Vision,0,0
Azerbaijan,Life_Sciences,0,0
Azerbaijan,Transportation,0,0
Azerbaijan,Industrial_and_Manufacturing,0,0
Azerbaijan,Knowledge_Representation,0,0
Azerbaijan,Telecommunications,0,0
Azerbaijan,Security__eg_cybersecurity,0,0
Azerbaijan,Measuring_and_Testing,0,0
Azerbaijan,Analytics_and_Algorithms,0,0
Azerbaijan,Banking_and_Finance,0,0
Azerbaijan,Planning_and_Scheduling,0,0
Azerbaijan,Business,0,0
Azerbaijan,Machine_Learning,0,0
Azerbaijan,Logic_Programming,0,0
Azerbaijan,Energy_Management,0,0
Azerbaijan,Physical_Sciences_and_Engineering,0,0
Azerbaijan,Probabilistic_Reasoning,0,0
Azerbaijan,Control,0,0
Azerbaijan,Speech_Processing,0,0
Belgium,Banking_and_Finance,0,0
Belgium,Knowledge_Representation,0,0
Belgium,Probabilistic_Reasoning,0,0
Belgium,Logic_Programming,0,0
Belgium,Ontology_Engineering,0,0
Bulgaria,Transportation,0,0
Bulgaria,Industrial_and_Manufacturing,0,0
Bulgaria,Business,0,0
Bulgaria,Telecommunications,0,0
Bulgaria,Energy_Management,0,0
Bulgaria,Speech_Processing,0,0
Bulgaria,Personal_Devices_and_Computing,0,0
Bulgaria,Analytics_and_Algorithms,0,0
Bulgaria,Computer_Vision,0,0
Bulgaria,Logic_Programming,0,0
Bulgaria,Measuring_and_Testing,0,0
Bulgaria,Planning_and_Scheduling,0,0
Bulgaria,Ontology_Engineering,0,0
Bulgaria,Physical_Sciences_and_Engineering,0,0
Bulgaria,Life_Sciences,0,0
Bulgaria,Knowledge_Representation,0,0
Bulgaria,Control,0,0
Bulgaria,Banking_and_Finance,0,0
Bulgaria,Security__eg_cybersecurity,0,0
Bulgaria,Probabilistic_Reasoning,0,0
Brunei Darussalam,Business,0,0
Brunei Darussalam,Ontology_Engineering,0,0
Brunei Darussalam,Speech_Processing,0,0
Brunei Darussalam,Physical_Sciences_and_Engineering,0,0
Brunei Darussalam,Personal_Devices_and_Computing,0,0
Brunei Darussalam,Transportation,0,0
Brunei Darussalam,Telecommunications,0,0
Brunei Darussalam,Industrial_and_Manufacturing,0,0
Brunei Darussalam,Generic_and_Unspecified,0,0
Brunei Darussalam,Knowledge_Representation,0,0
Brunei Darussalam,Logic_Programming,0,0
Brunei Darussalam,Control,0,0
Brunei Darussalam,Security__eg_cybersecurity,0,0
Brunei Darussalam,Banking_and_Finance,0,0
Brunei Darussalam,Probabilistic_Reasoning,0,0
Brunei Darussalam,Computer_Vision,0,0
Brunei Darussalam,Energy_Management,0,0
Brunei Darussalam,Measuring_and_Testing,0,0
Brunei Darussalam,Planning_and_Scheduling,0,0
Chile,Knowledge_Representation,0,0
Chile,Planning_and_Scheduling,0,0
Chile,Speech_Processing,0,0
Chile,Business,0,0
Chile,Ontology_Engineering,0,0
Chile,Energy_Management,0,0
Chile,Banking_and_Finance,0,0
Chile,Probabilistic_Reasoning,0,0
Colombia,Ontology_Engineering,0,0
Colombia,Speech_Processing,0,0
Colombia,Logic_Programming,0,0
Colombia,Knowledge_Representation,0,0
Colombia,Transportation,0,0
Colombia,Energy_Management,0,0
Costa Rica,Speech_Processing,0,0
Costa Rica,Telecommunications,0,0
Costa Rica,Energy_Management,0,0
Costa Rica,Measuring_and_Testing,0,0
Costa Rica,Control,0,0
Costa Rica,Knowledge_Representation,0,0
Costa Rica,Analytics_and_Algorithms,0,0
Costa Rica,Transportation,0,0
Costa Rica,Probabilistic_Reasoning,0,0
Costa Rica,Business,0,0
Costa Rica,Ontology_Engineering,0,0
Costa Rica,Security__eg_cybersecurity,0,0
Costa Rica,Banking_and_Finance,0,0
Costa Rica,Computer_Vision,0,0
Costa Rica,Physical_Sciences_and_Engineering,0,0
Costa Rica,Personal_Devices_and_Computing,0,0
Costa Rica,Logic_Programming,0,0
Costa Rica,Planning_and_Scheduling,0,0
Cuba,Planning_and_Scheduling,0,0
Cuba,Logic_Programming,0,0
Cuba,Speech_Processing,0,0
Cuba,Security__eg_cybersecurity,0,0
Cuba,Measuring_and_Testing,0,0
Cuba,Business,0,0
Cuba,Analytics_and_Algorithms,0,0
Cuba,Transportation,0,0
Cuba,Computer_Vision,0,0
Cuba,Life_Sciences,0,0
Cuba,Knowledge_Representation,0,0
Cuba,Ontology_Engineering,0,0
Cuba,Personal_Devices_and_Computing,0,0
Cuba,Banking_and_Finance,0,0
Cuba,Machine_Learning,0,0
Cuba,Probabilistic_Reasoning,0,0
Czechia,Security__eg_cybersecurity,0,0
Czechia,Speech_Processing,0,0
Czechia,Probabilistic_Reasoning,0,0
Czechia,Banking_and_Finance,0,0
Czechia,Ontology_Engineering,0,0
Czechia,Knowledge_Representation,0,0
Czechia,Computer_Vision,0,0
Czechia,Planning_and_Scheduling,0,0
Czechia,Physical_Sciences_and_Engineering,0,0
Czechia,Energy_Management,0,0
Denmark,Ontology_Engineering,0,0
Estonia,Business,0,0
Estonia,Banking_and_Finance,0,0
Estonia,Analytics_and_Algorithms,0,0
Estonia,Energy_Management,0,0
Estonia,Speech_Processing,0,0
Estonia,Ontology_Engineering,0,0
Estonia,Industrial_and_Manufacturing,0,0
Estonia,Probabilistic_Reasoning,0,0
Estonia,Logic_Programming,0,0
Estonia,Telecommunications,0,0
Estonia,Measuring_and_Testing,0,0
Estonia,Generic_and_Unspecified,0,0
Estonia,Control,0,0
Estonia,Life_Sciences,0,0
Estonia,Computer_Vision,0,0
Estonia,Planning_and_Scheduling,0,0
Estonia,Security__eg_cybersecurity,0,0
Estonia,Physical_Sciences_and_Engineering,0,0
Estonia,Knowledge_Representation,0,0
Estonia,Personal_Devices_and_Computing,0,0
Estonia,Transportation,0,0
Greece,Banking_and_Finance,0,0
Greece,Knowledge_Representation,0,0
Hong Kong,Knowledge_Representation,0,0
Hong Kong,Industrial_and_Manufacturing,0,0
Hong Kong,Speech_Processing,0,0
Hong Kong,Ontology_Engineering,0,0
Hong Kong,Logic_Programming,0,0
Croatia,Knowledge_Representation,0,0
Croatia,Speech_Processing,0,0
Croatia,Business,0,0
Croatia,Logic_Programming,0,0
Croatia,Probabilistic_Reasoning,0,0
Croatia,Energy_Management,0,0
Croatia,Banking_and_Finance,0,0
Croatia,Industrial_and_Manufacturing,0,0
Croatia,Analytics_and_Algorithms,0,0
Croatia,Transportation,0,0
Croatia,Security__eg_cybersecurity,0,0
Croatia,Planning_and_Scheduling,0,0
Hungary,Ontology_Engineering,0,0
Hungary,Knowledge_Representation,0,0
Indonesia,Physical_Sciences_and_Engineering,0,0
Indonesia,Knowledge_Representation,0,0
Indonesia,Energy_Management,0,0
Indonesia,Industrial_and_Manufacturing,0,0
Indonesia,Control,0,0
Indonesia,Analytics_and_Algorithms,0,0
Indonesia,Measuring_and_Testing,0,0
Indonesia,Planning_and_Scheduling,0,0
Indonesia,Transportation,0,0
Indonesia,Generic_and_Unspecified,0,0
Indonesia,Ontology_Engineering,0,0
Indonesia,Probabilistic_Reasoning,0,0
Indonesia,Speech_Processing,0,0
Indonesia,Computer_Vision,0,0
Indonesia,Security__eg_cybersecurity,0,0
Ireland,Industrial_and_Manufacturing,0,0
Ireland,Energy_Management,0,0
Ireland,Security__eg_cybersecurity,0,0
Ireland,Logic_Programming,0,0
Ireland,Measuring_and_Testing,0,0
Ireland,Transportation,0,0
Ireland,Control,0,0
Ireland,Speech_Processing,0,0
Ireland,Knowledge_Representation,0,0
Ireland,Ontology_Engineering,0,0
Ireland,Telecommunications,0,0
Ireland,Analytics_and_Algorithms,0,0
Ireland,Banking_and_Finance,0,0
Ireland,Physical_Sciences_and_Engineering,0,0
Iran,Speech_Processing,0,0
Iran,Knowledge_Representation,0,0
Iran,Generic_and_Unspecified,0,0
Iran,Computer_Vision,0,0
Iran,Planning_and_Scheduling,0,0
Iran,Physical_Sciences_and_Engineering,0,0
Iran,Industrial_and_Manufacturing,0,0
Iran,Life_Sciences,0,0
Iran,Energy_Management,0,0
Iran,Machine_Learning,0,0
Iran,Analytics_and_Algorithms,0,0
Iran,Transportation,0,0
Iran,Control,0,0
Iran,Business,0,0
Iran,Measuring_and_Testing,0,0
Iran,Ontology_Engineering,0,0
Iran,Banking_and_Finance,0,0
Jordan,Computer_Vision,0,0
Jordan,Personal_Devices_and_Computing,0,0
Jordan,Probabilistic_Reasoning,0,0
Jordan,Energy_Management,0,0
Jordan,Planning_and_Scheduling,0,0
Jordan,Analytics_and_Algorithms,0,0
Jordan,Banking_and_Finance,0,0
Jordan,Transportation,0,0
Jordan,Knowledge_Representation,0,0
Jordan,Physical_Sciences_and_Engineering,0,0
Jordan,Ontology_Engineering,0,0
Jordan,Life_Sciences,0,0
Jordan,Speech_Processing,0,0
Jordan,Logic_Programming,0,0
Kenya,Security__eg_cybersecurity,0,0
Kenya,Analytics_and_Algorithms,0,0
Kenya,Life_Sciences,0,0
Kenya,Ontology_Engineering,0,0
Kenya,Personal_Devices_and_Computing,0,0
Kenya,Probabilistic_Reasoning,0,0
Kenya,Energy_Management,0,0
Kenya,Planning_and_Scheduling,0,0
Kenya,Physical_Sciences_and_Engineering,0,0
Kenya,Telecommunications,0,0
Kenya,Generic_and_Unspecified,0,0
Kenya,Speech_Processing,0,0
Kenya,Business,0,0
Kenya,Knowledge_Representation,0,0
Kenya,Logic_Programming,0,0
Kenya,Banking_and_Finance,0,0
Kenya,Industrial_and_Manufacturing,0,0
Sri Lanka,Industrial_and_Manufacturing,0,0
Sri Lanka,Knowledge_Representation,0,0
Sri Lanka,Generic_and_Unspecified,0,0
Sri Lanka,Planning_and_Scheduling,0,0
Sri Lanka,Business,0,0
Sri Lanka,Speech_Processing,0,0
Sri Lanka,Computer_Vision,0,0
Sri Lanka,Ontology_Engineering,0,0
Sri Lanka,Probabilistic_Reasoning,0,0
Sri Lanka,Banking_and_Finance,0,0
Sri Lanka,Physical_Sciences_and_Engineering,0,0
Sri Lanka,Telecommunications,0,0
Sri Lanka,Measuring_and_Testing,0,0
Sri Lanka,Personal_Devices_and_Computing,0,0
Sri Lanka,Control,0,0
Sri Lanka,Transportation,0,0
Sri Lanka,Logic_Programming,0,0
Sri Lanka,Energy_Management,0,0
Sri Lanka,Security__eg_cybersecurity,0,0
Lithuania,Speech_Processing,0,0
Lithuania,Ontology_Engineering,0,0
Lithuania,Knowledge_Representation,0,0
Latvia,Industrial_and_Manufacturing,0,0
Latvia,Business,0,0
Latvia,Analytics_and_Algorithms,0,0
Latvia,Control,0,0
Latvia,Knowledge_Representation,0,0
Latvia,Banking_and_Finance,0,0
Latvia,Energy_Management,0,0
Latvia,Personal_Devices_and_Computing,0,0
Latvia,Transportation,0,0
Latvia,Speech_Processing,0,0
Latvia,Physical_Sciences_and_Engineering,0,0
Latvia,Measuring_and_Testing,0,0
Latvia,Generic_and_Unspecified,0,0
Latvia,Logic_Programming,0,0
Latvia,Life_Sciences,0,0
